competencia,unidade,total_leads,aulas_experimentais,professor_experimental,novas_matriculas,curso_matriculas,forma_contato_leads,caminho_experimentais,caminho_matriculas,ticket_medio_parcelas_matriculas,ticket_medio_passaporte,faturamento_passaporte
2025-11-01,Campo Grande,470,39,"4 Rodrigo, 3 Peterson, 3 Xande, 2 Gabriel Leão, 2 Matheus Santos, 2 Renan, 1 Kaio Cabral, 1 Caio Araújo, 1 Daiane, 1 Will (Fumaça), 1 Vicente, 1 Jordan, 1 Pedro, 1 Joel, 1 Valdo","24 (7 LAMK, 17 EMLA)","6 Canto, 6 Bateria, 3 Musicalização, 3 Violão, 3 Guitarra, 3 Teclado, 1 Violino","309 Instagram, 72 Site, 32 Leads/Convênios, 22 Google, 14 Ligação, 11 Indicação, 8 Visita/Placa, 2 Ex aluno","16 Google, 9 Indicação, 8 Instagram, 4 Visita/Placa, 2 Ex aluno","10 Google, 7 Indicação, 4 Ex aluno, 3 Instagram","R$ 369,75","R$ 286,46","R$ 6.875,00"
2025-12-01,Campo Grande,262,3,-,"0 (0 LAMK, 0 EMLA)",,"226 Instagram, 18 Site, 8 Leads/Convênios, 5 Ligação, 3 Indicação, 2 Visita/Placa","2 Indicação, 1 Google",-,-,-,-
2025-01-01,Recreio,112,42,"Vinicius 4, Lucas Lisboa 4, Leticia 3, Akeem 2, Willian 2, Lucas Guimarães 2, Matheus Lourenço 1, Joel 1, Israel 1, Xande e Lucas G 1, Sem experimental 1","30 (21 LAMK, 9 EMLA)","Musicalização 7, Bateria 5, Teclado 5, Violão 3, Canto 3, Musicalização preparatória 2, Piano 2, Guitarra 1, Musicalização bebê 1, Guitarra/Canto 1","60 Instagram, 25 Indicação, 16 Google, 8 Visita/Placa Fachada, 3 Ex aluno","Instagram 8, Indicação 6, Indicação amigo 3, Ex aluno 3, Placa da fachada 2, Outro parceiro da escola 1, Aluno mãe da Fernanda 1, Aluno da escola Maria 1","14 Indicação, 12 Instagram, 2 Visita/Placa Fachada, 2 Ex aluno","R$ 426,24","R$ 505,37","R$ 12.230,00"
2025-02-01,Recreio,225,24,"Larissa 6, Lucas Guimarães 3, Xande 1, Ramon 1, Leticia 2, Isaque 1, Lucas Lisboa 1, Akeem 1, Felipe 1","17 (3 LAMK, 14 EMLA)","Canto 4, Teclado 4, Guitarra 3, Musicalização 2, Violão 1, Musicalização bebê 1, Bateria 1, Musicalização preparatória 1","161 Instagram, 18 Site, 17 Google, 15 Placa Fachada, 10 Indicação, 4 Ex aluno","Instagram 7, Indicação 5, Placa da fachada 5, Colégio Girassol 3, Ex aluno 1","6 Instagram, 6 Indicação, 5 Visita/Placa Fachada","R$ 490,43","R$ 454,32","R$ 7.360,00"
2025-03-01,Recreio,133,38,"Lucas Guimarães 4, Letícia 3, Vicente 1, Will 1, Lolo 1, Vinicius 1, Lisboa 1, Felipe 1, Isaque 1, Joel 1, Akeem 1, Não teve 1","18 (10 LAMK, 8 EMLA)","Guitarra 5, Canto 5, Bateria 3, Teclado 3, Musicalização 1, Musicalização bebês 1, Canto/Teclado 1","68 Instagram, 38 Site, 16 Google, 8 Indicação, 3 Placa Fachada","Instagram 6, Google 3, Indicação 3, Placa da fachada 2, Aluno da escola 1, Indicação Ana Paul 1, Parceria com uma escola 1","Instagram 6, Google 3, Indicação 3, Placa da fachada 2, Aluno da escola 1, Indicação Ana Paul 1, Parceria com uma escola 1","R$ 440,46","R$ 450,87","R$ 7.800,00"
2025-04-01,Recreio,93,29,"Larissa 3, Letícia 2, Lucas Guimarães 2, Matheus Santos 2, Xande 1, Akeem 1, Israel 1, Kaio 1, Lucas Lisboa 1, Matheus Oliveira 1","16 (11 LAMK, 5 EMLA)","6 Canto, 3 Musicalização, 2 Guitarra, 2 Teclado, 2 Bateria, 1 Violão","43 Instagram, 22 Google, 13 Site, 5 Placa Fachada, 2 Indicação, 1 Ex aluno","7 Instagram, 4 Placa da fachada, 3 Google, 2 Site, 1 Pai de aluno, 1 Ex aluno, 1 Indicação aluna","7 Instagram, 2 Google, 2 Visita/Placa Fachada, 2 Indicação, 2 Site, 1 Ex aluno","R$ 405,31","R$ 424,38","R$ 6.790,00"
2025-05-01,Recreio,140,28,"Ramon 2, Vinicius 2, Matheus Santos 1, Will 1, Matheus Lana 1, Matheus Oliveira 1, Lucas Lisboa 1, Lohana 1","10 (3 LAMK, 7 EMLA)","3 Canto, 3 Teclado, 1 Violão, 1 Guitarra, 1 Bateria, 1 Musicalização preparatória","85 Instagram, 30 Google, 15 Site, 6 Indicação, 4 Ex aluno","2 Ex aluno, 1 Pai de aluno, 1 Google, 1 Instagram, 1 Indicação da Giovanna Frias, 1 Indicação da Verônica (mãe do Miguel Masson), 1 Indicação Taíssa Barroso Matos, 1 Indicação (Primo) Gabriel Wandeck, 1 Lucia mãe do Henrique","5 Indicação, 2 Instagram, 2 Ex aluno, 1 Google","R$ 460,50","$421,00","R$ 4.210,00"
2025-06-01,Recreio,108,23,"Akeem 2, Israel 2, Larissa 1, Will 1, Lucas Guimarães 1, Lucas Lisboa 1, Letícia 1","10 (4 LAMK, 6 EMLA)","4 Bateria, 2 Guitarra, 1 Canto, 1 Violão, 1 Teclado, 1 Musicalização","58 Instagram, 47 Google, 24 Site, 5 Ex aluno, 2 Indicação, 1 Placa Fachada","2 Google, 2 Instagram, 1 Ex aluno Campo Grande, 1 Pai de aluno, 1 Irmão de aluno, 1 Indicação Gabriel Serra","5 Indicação, 2 Instagram, 2 Ex aluno, 1 Google","R$ 396,46","R$ 424,24","R$ 4.200,00"
2025-07-01,Recreio,99,25,,"9 (4 LAMK, 5 EMLA)",,"53 Instagram, 23 Google, 10 Site, 7 Indicação, 5 Placa Fachada, 1 Ex aluno",,"4 Instagram, 4 Indicação, 1 Google","R$ 406,67","R$ 444,44","R$ 4.000,00"
2025-08-01,Recreio,250,44,"Letícia 5, Lucas 5, Ramon 3, Willian 3, Matheus Felipe 3, Israel 3, Matheus Lana 2, Kaio 2, Vicente 2, Renan 1, Valdo 1, Xande 1, Akeem 1, William Fumaça 1, Isaque 1, Sem experimental 3, Não fez 1","40 (25 LAMK, 15 EMLA)","8 Canto, 8 Guitarra, 7 Teclado, 7 Bateria, 4 Musicalização, 3 Violão, 1 Musicalização bebê, 1 Musicalização Prep, 1 Contrabaixo","32 Instagram, 11 Placa Fachada, 7 Google, 6 Indicação, 6 Ex aluno, 4 Site, 1 Irmão de aluno","10 Instagram, 7 Google, 6 Placa da fachada, 5 Indicação, 4 Ex aluno, 1 Irmão de aluno, 1 Indicação Marcos Antônio, 1 Indicação Theo Galvão, 1 Indicação professor Xande, 1 Indicação João Pedro Font, 1 Indicação Luiz Medeiros, 1 Curso de basquete da escola, 1 Lua e indicação mãe do aluno","11 Indicação, 8 Google, 8 Visita/Placa Fachada, 7 Instagram, 3 Ex aluno, 2 Site, 1 Irmão de aluno","R$ 398,25","R$ 260,00","R$ 10.400,00"
2025-09-01,Recreio,127,28,"Letícia 3, Willer 2, Larissa 2, Lucas 2, Matheus Santos 1, Caio 1, Akeem 1, Sem exp 3","15 (6 LAMK, 9 EMLA)","5 Canto, 3 Guitarra, 3 Teclado, 2 Bateria, 1 Violão, 1 Musicalização Preparatória","71 Instagram, 15 Google, 15 Indicação, 12 Placa Fachada, 8 Site, 6 Ex aluno","6 Indicação da mãe (aluna), 2 Instagram, 2 Indicação do irmão do professor Ramon Pina, 1 Ex aluna, 1 Indicação (de quem?), 1 Placa da fachada","10 Indicação, 2 Instagram, 2 Ex alunos, 1 Visita/Placa Fachada","R$ 389,67","R$ 304,67","R$ 4.570,00"
2025-10-01,Recreio,82,13,"Willian 2, Xande 1, Lucas Guimarães 1, Akeem 1, Sem exp 1","6 (3 LAMK, 3 EMLA)","2 Violão, 2 Teclado, 1 Canto, 1 Bateria","70 Instagram, 8 Placa Fachada, 4 Indicação","4 Instagram, 1 Pai do Theo e Henrique, 1 Bruno Talamini","4 Instagram, 2 Indicação","R$ 398,33","R$ 290,00","R$ 1.740,00"
2025-11-01,Recreio,93,18,"Lucas Guimarães 5, Larissa 2, Matheus Santos 1, Valdo 1, Vinicius 1, Caio Tenório 1, Willer 1, Sem experimental 1","13 (5 LAMK, 8 EMLA)","4 Guitarra, 3 Violão, 2 Bateria, 2 Canto, 1 Teclado, 1 Violino","17 Google, 5 Instagram, 5 Placa Fachada, 4 Indicação, 1 Site, 1 Ex aluno","4 Instagram, 3 Google, 2 Placa da fachada, 2 Minha amiga Talita (mãe), 1 Ex aluno, 1 Indicação de outro amigo","4 Google, 3 Instagram, 3 Indicação, 1 Visita/Placa Fachada, 1 Site, 1 Ex aluno","R$ 402,31","R$ 168,46","R$ 2.190,00"
2025-12-01,Recreio,79,12,"Ramon 1, Guilherme 1, Willian 1, Sem experimental 1","4 (4 LAMK, 0 EMLA)","2 Guitarra, 1 Bateria, 1 Teclado","72 Instagram, 4 Placa Fachada, 1 Google, 1 Indicação, 1 Site, 1 Irmão de aluno","4 Google, 3 Instagram, 3 Indicação, 1 Visita/Placa Fachada, 1 Site, 1 Ex aluno","3 Instagram, 1 Google","R$ 405,00","R$ 262,50","R$ 1.050,00"
